id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Odon;Renaud;Victorien_Dupont@yahoo.fr;allonger;2024-10-02T11:30:10;22950;7230
2;Joël;Bonnet;Julia72@yahoo.fr;consoler camarade;2024-10-01T18:29:58;1823;8981
3;Thierry;Lopez;Daphne42@hotmail.fr;spécialiste en bas de vu que;2024-10-02T13:56:56;3862;4196
4;Athénaïs;Baron;Robert_Schneider48@gmail.com;biathlète diplomate;2024-10-02T02:52:20;3758;13024
5;Amarande;Charles;Ernestine.Robin@yahoo.fr;accuser afin de;2024-10-02T07:08:10;5719;31950
6;Amant;Roche;Yseult84@gmail.com;résulter;2024-10-02T13:36:27;4079;31125
7;Basilisse;Carpentier;Foulques.Roux39@yahoo.fr;tsoin-tsoin hypocrite;2024-10-02T04:15:34;11354;31911
8;Cassien;Pons;Aurelle_Leroux85@gmail.com;assurément pschitt;2024-10-01T18:12:52;29325;31944
9;Gilbert;Bernard;Adele.Colin@yahoo.fr;maigre vroum tic-tac;2024-10-02T12:46:17;10580;4727
10;Adegrine;Pierre;Agneflete_Robert@yahoo.fr;ha ha paf avant que;2024-10-02T03:41:06;20974;15791
